date,ticker,open,high,low,close,volume,_errors
1996-01-02,VHI,-259.03,-264.01,-259.03,-264.01,3042,open below minimum: -259.03; high below minimum: -264.01; low below minimum: -259.03; close below minimum: -264.01
1996-01-03,VHI,-259.03,-273.97,-259.03,-273.97,5658,open below minimum: -259.03; high below minimum: -273.97; low below minimum: -259.03; close below minimum: -273.97
1996-01-04,VHI,-268.99,-283.93,-268.99,-283.93,11560,open below minimum: -268.99; high below minimum: -283.93; low below minimum: -268.99; close below minimum: -283.93
1996-01-05,VHI,-278.95,-283.93,-273.97,-273.97,14298,open below minimum: -278.95; high below minimum: -283.93; low below minimum: -273.97; close below minimum: -273.97
1996-01-08,VHI,-278.95,-283.93,-278.95,-283.93,3955,open below minimum: -278.95; high below minimum: -283.93; low below minimum: -278.95; close below minimum: -283.93
1996-01-09,VHI,-288.91,-288.91,-288.91,-288.91,6145,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -288.91; close below minimum: -288.91
1996-01-10,VHI,-288.91,-288.91,-283.93,-283.93,4563,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -283.93; close below minimum: -283.93
1996-01-11,VHI,-288.91,-288.91,-278.95,-278.95,4989,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -278.95; close below minimum: -278.95
1996-01-12,VHI,-278.95,-278.95,-278.95,-278.95,608,open below minimum: -278.95; high below minimum: -278.95; low below minimum: -278.95; close below minimum: -278.95
1996-01-15,VHI,-278.95,-278.95,-278.95,-278.95,365,open below minimum: -278.95; high below minimum: -278.95; low below minimum: -278.95; close below minimum: -278.95
1996-01-16,VHI,-278.95,-283.93,-278.95,-283.93,1095,open below minimum: -278.95; high below minimum: -283.93; low below minimum: -278.95; close below minimum: -283.93
1996-01-17,VHI,-278.95,-278.95,-278.95,-278.95,487,open below minimum: -278.95; high below minimum: -278.95; low below minimum: -278.95; close below minimum: -278.95
1996-01-18,VHI,-278.95,-278.95,-273.97,-273.97,1095,open below minimum: -278.95; high below minimum: -278.95; low below minimum: -273.97; close below minimum: -273.97
1996-01-19,VHI,-268.99,-268.99,-264.01,-268.99,5354,open below minimum: -268.99; high below minimum: -268.99; low below minimum: -264.01; close below minimum: -268.99
1996-01-22,VHI,-268.99,-268.99,-268.99,-268.99,2920,open below minimum: -268.99; high below minimum: -268.99; low below minimum: -268.99; close below minimum: -268.99
1996-01-23,VHI,-268.99,-278.95,-268.99,-273.97,4016,open below minimum: -268.99; high below minimum: -278.95; low below minimum: -268.99; close below minimum: -273.97
1996-01-24,VHI,-268.99,-273.97,-268.99,-273.97,2677,open below minimum: -268.99; high below minimum: -273.97; low below minimum: -268.99; close below minimum: -273.97
1996-01-25,VHI,-283.93,-288.91,-278.95,-283.93,9065,open below minimum: -283.93; high below minimum: -288.91; low below minimum: -278.95; close below minimum: -283.93
1996-01-26,VHI,-288.91,-288.91,-283.93,-288.91,2555,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -283.93; close below minimum: -288.91
1996-01-29,VHI,-303.86,-308.84,-288.91,-293.89,13142,open below minimum: -303.86; high below minimum: -308.84; low below minimum: -288.91; close below minimum: -293.89
1996-01-30,VHI,-308.84,-308.84,-298.88,-303.86,14359,open below minimum: -308.84; high below minimum: -308.84; low below minimum: -298.88; close below minimum: -303.86
1996-01-31,VHI,-303.86,-303.86,-298.88,-298.88,3590,open below minimum: -303.86; high below minimum: -303.86; low below minimum: -298.88; close below minimum: -298.88
1996-02-01,VHI,-298.88,-298.88,-293.89,-293.89,1643,open below minimum: -298.88; high below minimum: -298.88; low below minimum: -293.89; close below minimum: -293.89
1996-02-02,VHI,-293.89,-293.89,-288.91,-288.91,3529,open below minimum: -293.89; high below minimum: -293.89; low below minimum: -288.91; close below minimum: -288.91
1996-02-05,VHI,-293.89,-293.89,-283.93,-283.93,4198,open below minimum: -293.89; high below minimum: -293.89; low below minimum: -283.93; close below minimum: -283.93
1996-02-06,VHI,-288.91,-288.91,-283.93,-283.93,4807,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -283.93; close below minimum: -283.93
1996-02-07,VHI,-288.91,-288.91,-283.93,-283.93,2129,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -283.93; close below minimum: -283.93
1996-02-08,VHI,-288.91,-293.89,-283.93,-283.93,4746,open below minimum: -288.91; high below minimum: -293.89; low below minimum: -283.93; close below minimum: -283.93
1996-02-09,VHI,-288.91,-288.91,-283.93,-288.91,2008,open below minimum: -288.91; high below minimum: -288.91; low below minimum: -283.93; close below minimum: -288.91
