ticker,cik
AAMI,0001748824
AAOI,0001158114
AAP,0001158449
AARD,0001774857
AAT,0001500217
ABAT,0001576873
ABCB,0000351569
ABEO,0000318306
ABG,0001144980
ABM,0000771497
ABR,0001253986
ABSI,0001672688
ABUS,0001447028
ABX,0001814287
ACA,0001739445
ACAD,0001070494
ACCO,0000712034
ACDC,0001881487
ACEL,0001698991
ACH,0000075252
ACHR,0001824502
ACIC,0001401521
ACIW,0000935036
ACLS,0001113232
ACMR,0001680062
ACNB,0000715579
ACNT,0000095953
ACR,0001332551
ACRE,0001529377
ACRS,0001557746
ACT,0001823529
ACTG,0000934549
ACTU,0001652935
ACU,0000002098
ACVA,0001637873
ADAM,0001273685
ADCT,0001771910
ADEA,0001803696
ADMA,0001368514
ADNT,0001670541
ADPT,0001478320
ADRO,0001191398
ADTN,0000926282
ADUS,0001468328
ADV,0001776661
AEBI,0002048519
AEHR,0001040470
AEIS,0000927003
AEO,0000919012
AESI,0001984060
AEVA,0001789029
AEYE,0001362190
AFRI,0001903870
AGIO,0001439222
AGL,0001831097
AGM,0000845877
AGX,0000100591
AGYS,0000078749
AHCO,0001725255
AHR,0001632970
AHRT,0001569187
AI,0001577526
AII,0002007587
AIN,0000819793
AIOT,0001774170
AIP,0001667011
AIR,0000001750
AIRJ,0001855474
AIRO,0001927958
AIRS,0001870940
AISP,0001842566
AKBA,0001517022
AKE,0001517022
AKR,0000899629
AKTS,0002035832
ALCO,0000003545
ALDX,0001341235
ALEC,0001653087
ALG,0000897077
ALGT,0001362468
ALH,0001317685
ALHC,0001832466
ALIT,0001809104
ALKS,0001520262
ALKT,0001529274
ALLO,0001737287
ALMS,0001847367
ALMU,0001828805
ALNT,0000046129
ALRM,0001459200
ALRS,0000903419
ALT,0001326190
ALTG,0001759824
ALTI,0001838615
ALX,0000003499
AMAL,0001823608
AMBA,0001280263
AMBP,0001845097
AMBQ,0001500412
AMC,0001411579
AMCX,0001514991
AMLX,0001658551
AMN,0001142750
AMPH,0001297184
AMPL,0001866692
AMPX,0001899287
AMR,0001704715
AMRC,0001488139
AMRX,0001723128
AMSC,0000880807
AMSF,0001018979
AMTB,0001734342
AMWD,0000794619
ANAB,0001370053
ANDE,0000821026
ANF,0001018840
ANGI,0001705110
ANGO,0001275187
ANIK,0000898437
ANIP,0001023024
ANNX,0001528115
AOMR,0001766478
AORT,0000784199
AOSL,0001387467
AOUT,0001808997
APAM,0001517302
APEI,0001201792
APGE,0001974640
APLD,0001144879
APLE,0001418121
APOG,0000006845
APPN,0001441683
APPS,0000317788
AQST,0001398733
ARAY,0001138723
ARCB,0000894405
ARCT,0001768224
ARDT,0001756655
ARDX,0001437402
AREN,0000894871
ARHS,0001875444
ARI,0001467760
ARKO,0001823794
ARL,0001102238
ARLO,0001736946
AROC,0001389050
AROW,0000717538
ARQ,0001515156
ARQT,0001787306
ARR,0001428205
ARRY,0001820721
ARVN,0001655759
ARWR,0000879407
ASAN,0001477720
ASB,0000007789
ASC,0001577437
ASIC,0002040491
ASIX,0001673985
ASLE,0001754170
ASO,0001817358
ASPI,0001921865
ASPN,0001145986
ASST,0001920406
ASTE,0000792987
ASTH,0001083446
ASUR,0000884144
ATEC,0001350653
ATEN,0001580808
ATEX,0001304492
ATKR,0001666138
ATLC,0001464343
ATLN,0001605888
