company_name,ticker,cik,form_type,filing_date,accession_number,document_url,ceo_name
Walmart,WMT,0000104169,10-K,2025-03-14,0000104169-25-000021,https://www.sec.gov/Archives/edgar/data/104169/000010416925000021/wmt-20250131.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2024-03-15,0000104169-24-000056,https://www.sec.gov/Archives/edgar/data/104169/000010416924000056/wmt-20240131.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2023-03-17,0000104169-23-000020,https://www.sec.gov/Archives/edgar/data/104169/000010416923000020/wmt-20230131.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2022-03-18,0000104169-22-000012,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/wmt-20220131.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2021-03-19,0000104169-21-000033,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/wmt-20210131.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2020-03-20,0000104169-20-000011,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/wmtform10-kx1312020.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2019-03-28,0000104169-19-000016,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/wmtform10-kx1312019.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2018-03-30,0000104169-18-000028,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/wmtform10-kx1312018.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2017-03-31,0000104169-17-000021,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/wmtform10-kx1312017.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2016-03-30,0000104169-16-000079,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/wmtform10-kx1312016.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2015-04-01,0000104169-15-000011,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/wmtform10-kx13115.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2014-03-21,0000104169-14-000019,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/wmtform10-kx13114.htm,C. Douglas McMillon
Walmart,WMT,0000104169,10-K,2013-03-26,0000104169-13-000011,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/wmt10-k.htm,Michael T. Duke
Walmart,WMT,0000104169,10-K,2012-03-27,0001193125-12-134679,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/d270972d10k.htm,Michael T. Duke
Walmart,WMT,0000104169,10-K,2011-03-30,0001193125-11-083157,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/d10k.htm,Michael T. Duke
