Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
AAMI,Acadian Asset Management Inc.,Guang Yang,,2020-04-15,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,Acadian Asset Management Inc.,Suren Rana,2020-04-15,2024-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882420000014/bsig-form8xkxranaceoap.htm
AAMI,Acadian Asset Management Inc.,Kelly Young,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1748824/000174882424000041/bsig-20240930.htm
AAOI,"APPLIED OPTOELECTRONICS, INC.",Chih-Hsiang Lin,Unknown,Present,Wikipedia (scraped),https://en.wikipedia.org/wiki/Applied_Optoelectronics
AAP,ADVANCE AUTO PARTS INC,Lawrence P. Castellani,,2005-05-24,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,ADVANCE AUTO PARTS INC,Michael N. Coppola,2005-05-24,2007-05-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844905000105/aap8k_052405.htm
AAP,ADVANCE AUTO PARTS INC,John C. Brouillard,2007-05-07,2008-01-07,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000074/aap8k.htm
AAP,ADVANCE AUTO PARTS INC,Darren R. Jackson,2008-01-07,2016-01-02,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844907000176/aap8k.htm
AAP,ADVANCE AUTO PARTS INC,George E. Sherman,2016-01-03,2016-04-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844915000187/a8k_11x11x2015.htm
AAP,ADVANCE AUTO PARTS INC,Thomas R. Greco,2016-04-11,2023-09-11,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000115844916000365/a8k_4x4x2016.htm
AAP,ADVANCE AUTO PARTS INC,Shane M. O'Kelly,2023-09-11,Present,8-K,https://www.sec.gov/Archives/edgar/data/1158449/000119312523218433/d508220d8k.htm
AAT,"American Assets Trust, Inc.",John W. Chamberlain,,2015-09-14,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,"American Assets Trust, Inc.",Ernest W. Rady,2015-09-14,2025-01-01,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000162828015007099/a8k_2015x09xchamberlain.htm
AAT,"American Assets Trust, Inc.",Adam Wyll,2025-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1500217/000150021724000043/aat-20240730.htm
