Ticker,Company Name,CEO Name,Start Date,End Date,Source,Validation URL
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",J. Raymond Elliott,,2007-05-01,8-K,https://www.sec.gov/Archives/edgar/data/1136869/000095013707006491/c14773e8vk.htm
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",David C. Dvorak,2007-05-01,2017-07-11,8-K,https://www.sec.gov/Archives/edgar/data/1136869/000119312517226126/d421085d8k.htm
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Daniel P. Florin,2017-07-11,2017-12-19,8-K,https://www.sec.gov/Archives/edgar/data/1136869/000119312517376624/d520208d8k.htm
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Bryan C. Hanson,2017-12-19,2023-08-22,8-K,https://www.sec.gov/Archives/edgar/data/1136869/000119312523217504/d535846d8k.htm
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Ivan Tornos,2023-08-22,Present,8-K,https://www.sec.gov/Archives/edgar/data/1136869/000119312523217504/d535846d8k.htm
ZBRA,ZEBRA TECHNOLOGIES CORP,Edward L. Kaplan,2006-01-01,2007-09-04,8-K,https://www.sec.gov/Archives/edgar/data/877212/000119312507194502/d8k.htm
ZBRA,ZEBRA TECHNOLOGIES CORP,Anders Gustafsson,2007-09-04,2023-03-01,8-K,https://www.sec.gov/Archives/edgar/data/877212/000119312507194502/d8k.htm
ZBRA,ZEBRA TECHNOLOGIES CORP,William Burns,2023-03-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/877212/000087721222000130/zbra-20221205.htm
ZTS,Zoetis Inc.,Juan Ramón Alaix,,2019-12-31,8-K,https://www.sec.gov/Archives/edgar/data/1555280/000119312519261144/d814554d8k.htm
ZTS,Zoetis Inc.,Kristin Peck,2020-01-01,Present,8-K,https://www.sec.gov/Archives/edgar/data/1555280/000119312519261144/d814554d8k.htm
